Target,Feature,Coefficient,R2_Score,RMSE,Run_Timestamp
SalesAmount,UnitPrice,1124.8004304816359,0.5232756789549131,1179.454310233013,20260506_202735
SalesAmount,DiscountAmount,338.69196433590065,0.5232756789549131,1179.454310233013,20260506_202735
SalesAmount,Year,82.34893971721326,0.5232756789549131,1179.454310233013,20260506_202735
SalesAmount,PromotionKey,22.482395474060937,0.5232756789549131,1179.454310233013,20260506_202735
SalesAmount,Month,11.179972688367076,0.5232756789549131,1179.454310233013,20260506_202735
SalesAmount,SalesTerritoryKey,-52.944689563730975,0.5232756789549131,1179.454310233013,20260506_202735
SalesAmount,UnitPriceDiscountPct,-217.20669044474513,0.5232756789549131,1179.454310233013,20260506_202735
SalesAmount,IsInternet,-472.0288988574895,0.5232756789549131,1179.454310233013,20260506_202735
OrderQuantity,DiscountAmount,0.2212497523849967,0.2859292860424396,2.123004371744159,20260506_202735
OrderQuantity,UnitPriceDiscountPct,0.2073290900734738,0.2859292860424396,2.123004371744159,20260506_202735
OrderQuantity,Year,0.09669811120687438,0.2859292860424396,2.123004371744159,20260506_202735
OrderQuantity,SalesTerritoryKey,0.028969412514934893,0.2859292860424396,2.123004371744159,20260506_202735
OrderQuantity,Month,-0.015813067473942406,0.2859292860424396,2.123004371744159,20260506_202735
OrderQuantity,PromotionKey,-0.052332699608727745,0.2859292860424396,2.123004371744159,20260506_202735
OrderQuantity,UnitPrice,-0.12801419039270417,0.2859292860424396,2.123004371744159,20260506_202735
OrderQuantity,IsInternet,-1.274244229534097,0.2859292860424396,2.123004371744159,20260506_202735
