Target,Feature,Importance,R2_Score,CV_R2_Mean,RMSE,CV_RMSE_Mean,Run_Timestamp,Accuracy,CV_Accuracy_Mean,CV_F1_Mean
SalesAmount,UnitPrice,0.7466276050110351,0.7355473859138156,0.7198598361998624,878.4588036084316,893.0127627910775,20260506_215233,,,
SalesAmount,IsInternet,0.0771849658416048,0.7355473859138156,0.7198598361998624,878.4588036084316,893.0127627910775,20260506_215233,,,
SalesAmount,SalesTerritoryKey,0.03455755267050367,0.7355473859138156,0.7198598361998624,878.4588036084316,893.0127627910775,20260506_215233,,,
SalesAmount,Month,0.030482399263247233,0.7355473859138156,0.7198598361998624,878.4588036084316,893.0127627910775,20260506_215233,,,
SalesAmount,DiscountAmount,0.026489814889159337,0.7355473859138156,0.7198598361998624,878.4588036084316,893.0127627910775,20260506_215233,,,
SalesAmount,Year,0.0201479490855039,0.7355473859138156,0.7198598361998624,878.4588036084316,893.0127627910775,20260506_215233,,,
SalesAmount,DiscountIntensity,0.0184201018672076,0.7355473859138156,0.7198598361998624,878.4588036084316,893.0127627910775,20260506_215233,,,
SalesAmount,UnitPriceDiscountPct,0.016499633583319788,0.7355473859138156,0.7198598361998624,878.4588036084316,893.0127627910775,20260506_215233,,,
SalesAmount,PromotionKey,0.01443680312889075,0.7355473859138156,0.7198598361998624,878.4588036084316,893.0127627910775,20260506_215233,,,
SalesAmount,DiscountFlag,0.009010435411556978,0.7355473859138156,0.7198598361998624,878.4588036084316,893.0127627910775,20260506_215233,,,
SalesAmount,Quarter,0.00614273924797087,0.7355473859138156,0.7198598361998624,878.4588036084316,893.0127627910775,20260506_215233,,,
OrderQuantityBucket,IsInternet,0.5988579064347356,,,,,20260506_215233,0.8723368562321758,0.8710177784448753,0.8727454997890224
OrderQuantityBucket,UnitPrice,0.15920472020983728,,,,,20260506_215233,0.8723368562321758,0.8710177784448753,0.8727454997890224
OrderQuantityBucket,SalesTerritoryKey,0.06870016705309817,,,,,20260506_215233,0.8723368562321758,0.8710177784448753,0.8727454997890224
OrderQuantityBucket,Year,0.06575542171107955,,,,,20260506_215233,0.8723368562321758,0.8710177784448753,0.8727454997890224
OrderQuantityBucket,DiscountAmount,0.02408914411702623,,,,,20260506_215233,0.8723368562321758,0.8710177784448753,0.8727454997890224
OrderQuantityBucket,Month,0.02291003157426308,,,,,20260506_215233,0.8723368562321758,0.8710177784448753,0.8727454997890224
OrderQuantityBucket,UnitPriceDiscountPct,0.017572868175344217,,,,,20260506_215233,0.8723368562321758,0.8710177784448753,0.8727454997890224
OrderQuantityBucket,DiscountIntensity,0.013269588174652062,,,,,20260506_215233,0.8723368562321758,0.8710177784448753,0.8727454997890224
OrderQuantityBucket,PromotionKey,0.012777150229768155,,,,,20260506_215233,0.8723368562321758,0.8710177784448753,0.8727454997890224
OrderQuantityBucket,DiscountFlag,0.0126934294302477,,,,,20260506_215233,0.8723368562321758,0.8710177784448753,0.8727454997890224
OrderQuantityBucket,Quarter,0.004169572889948032,,,,,20260506_215233,0.8723368562321758,0.8710177784448753,0.8727454997890224
